business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level
OPERATIONAL,"{'location': {'lat': 5.406194699999999, 'lng': 100.3215344}, 'viewport': {'northeast': {'lat': 5.407463829892722, 'lng': 100.3229688798927}, 'southwest': {'lat': 5.404764170107278, 'lng': 100.3202692201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Ice Blended Food Truck Pink,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106868741304261917526"">A Google User</a>'], 'photo_reference': 'AW30NDz-U5IetfM3_JW3u_yCyrhKGL3vvZ2L6J_w8pxiwfDAra4IqpLVUrT_GmOORqsqSquK4LhjTx4Lnf-KyH5oaOQ_5vGi-SdTViLKhqqAslduExCOUk_7Ne0OjiCoSZ6FI508J-IsvAk-P7nITVWwc5BjogXZ_DTPBv39c0iHtUQC7fxm', 'width': 3024}]",ChIJwVvLGWTDSjAR_onhlOgRxPk,"{'compound_code': 'C84C+FJ George Town, Penang', 'global_code': '6PQ2C84C+FJ'}",4.1,ChIJwVvLGWTDSjAR_onhlOgRxPk,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",17,"154, Jalan Patani, Kampung Rawa, George Town",
OPERATIONAL,"{'location': {'lat': 5.4195878, 'lng': 100.3336893}, 'viewport': {'northeast': {'lat': 5.420918129892723, 'lng': 100.3350296798927}, 'southwest': {'lat': 5.418218470107279, 'lng': 100.3323300201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,iasoMie Bistro & Grill,{'open_now': True},"[{'height': 809, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115373478659610409473"">A Google User</a>'], 'photo_reference': 'AW30NDyTnWHD4Ir6ft0wTC_xRs4SlR-eAfkoqbBZ89j0zg-FIpVtV7JinclxPQMdscUe47qOWDaTT9cUWGBt-mbDUF60MljhTV6CKrrwOO7kvKl_d3CuI6zStPa5wHhdNC615rEe_YIE1bgFDX53-SaBNK3GeUYHHF_aFelScZjA4V4dkfGM', 'width': 1080}]",ChIJsYv8TmXDSjARxwsJ5IO7Omc,"{'compound_code': 'C89M+RF George Town, Penang', 'global_code': '6PQ2C89M+RF'}",5.0,ChIJsYv8TmXDSjARxwsJ5IO7Omc,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3,"422, Chulia St, Georgetown, George Town",
OPERATIONAL,"{'location': {'lat': 5.434298, 'lng': 100.3147}, 'viewport': {'northeast': {'lat': 5.435740279892722, 'lng': 100.3161243798927}, 'southwest': {'lat': 5.433040620107279, 'lng': 100.3134247201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Coco Island Street Food,{'open_now': True},"[{'height': 2976, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108507538226935022277"">A Google User</a>'], 'photo_reference': 'AW30NDxjx2TychfmP2V0llq_WsLJN8R6HfNfFc_pQMpcTyNq_PAmTqWN2mM2whLmBR3JTlByTSWOnXx2lDp53PRV8R88UnrQ6Jnw9gVfIGie58-rJldNzRRwJWXklmtZ9WIWEn-zdFKT7E3eDxu-fkVtKdoBAcxIAirtrbMYqXgWUVg0FL0', 'width': 3968}]",ChIJU-VD23HDSjAR2Ho05h-i0AQ,"{'compound_code': 'C8M7+PV George Town, Penang', 'global_code': '6PQ2C8M7+PV'}",4.0,ChIJU-VD23HDSjAR2Ho05h-i0AQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",616,"104, Gurney Dr, Pulau Tikus, George Town",2.0
OPERATIONAL,"{'location': {'lat': 5.4148553, 'lng': 100.3348902}, 'viewport': {'northeast': {'lat': 5.416223329892722, 'lng': 100.3362625298927}, 'southwest': {'lat': 5.413523670107279, 'lng': 100.3335628701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Khun Nak Thai Food Cuisine,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107502262801423922367"">Y O Moey</a>'], 'photo_reference': 'AW30NDwsLEtCEdwjKxdqcYowSwV_9yAWW2dUeOlOMY-g21xZtNfOv8ggRbSAsm5RcsCymQxPYwxNgM1KEWjRio2LZmE3yarT5rtAvXNmJaJ3jywncz4KgTvOOKKoh2MZpxUy3gsap_Buf3ipoeZlbdDF3YQl8a6OG7K2n0CZvM3_1pookvg6', 'width': 3024}]",ChIJ4dGmecvDSjARLNO7X_WtzBg,"{'compound_code': 'C87M+WX George Town, Penang', 'global_code': '6PQ2C87M+WX'}",0.0,ChIJ4dGmecvDSjARLNO7X_WtzBg,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"2, Lorong Carnarvon, George Town",
OPERATIONAL,"{'location': {'lat': 5.4167244, 'lng': 100.3415977}, 'viewport': {'northeast': {'lat': 5.418092529892721, 'lng': 100.3429321798927}, 'southwest': {'lat': 5.415392870107278, 'lng': 100.3402325201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,food museum,,,ChIJ80RRK93DSjARrkB_4eWau0g,"{'compound_code': 'C88R+MJ George Town, Penang', 'global_code': '6PQ2C88R+MJ'}",5.0,ChIJ80RRK93DSjARrkB_4eWau0g,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1,"37A&B, Beach St, Georgetown, George Town",
OPERATIONAL,"{'location': {'lat': 5.429142, 'lng': 100.311639}, 'viewport': {'northeast': {'lat': 5.430476579892722, 'lng': 100.3130160298927}, 'southwest': {'lat': 5.427776920107278, 'lng': 100.3103163701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Village Food Recipe,{'open_now': False},"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105453789424269485981"">Lim</a>'], 'photo_reference': 'AW30NDxfRi5veI4-LX6BV1h61sdjlBHjCZAHuMYk5C7ImT6W4oBSjgMleOBp-lC3aefOYm-R90RfSBUfrpIsb5AsjY_sFzPROIg3a0yxsx53ssl5wza-xz0TKnM1O6x66iseiev79skFGxTqJmI8TC7ZJbAsDKVTVt2wf6iCZM7Z7eR3Z08o', 'width': 4032}]",ChIJxxHvmanDSjAR-NK2ypi1Vnk,"{'compound_code': 'C8H6+MJ George Town, Penang', 'global_code': '6PQ2C8H6+MJ'}",4.4,ChIJxxHvmanDSjAR-NK2ypi1Vnk,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",40,"58, Jalan Moulmein, Pulau Tikus, George Town",
OPERATIONAL,"{'location': {'lat': 5.420317000000001, 'lng': 100.342917}, 'viewport': {'northeast': {'lat': 5.421494629892721, 'lng': 100.3442946298927}, 'southwest': {'lat': 5.418794970107277, 'lng': 100.3415949701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Western Food and Hainan Food,{'open_now': False},"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100312795936200254841"">harold fung</a>'], 'photo_reference': 'AW30NDwiDRIg6zHtbS300Jo1By_91YxF3ByJEAhkZeDbLT5uqMtmxxEt8YodUs9z2PqeRVTuZogrUuv2U94B_cRxXpigPBhsBR6MmEUF0cVvSEcpqrjAe5a4oz_lXMTaZFvN4j4OYsO9AZkT9ZBQWlLh9HDR6nN-yM6-iP4cFP6u5ro3PizQ', 'width': 1836}]",ChIJnQ9x9YXDSjARZAD5HyzPTr4,"{'compound_code': 'C8CV+45 George Town, Penang', 'global_code': '6PQ2C8CV+45'}",4.3,ChIJnQ9x9YXDSjARZAD5HyzPTr4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",15,"1, Light St, Georgetown, George Town",
OPERATIONAL,"{'location': {'lat': 5.4086504, 'lng': 100.3171308}, 'viewport': {'northeast': {'lat': 5.410048429892721, 'lng': 100.3185355798927}, 'southwest': {'lat': 5.407348770107277, 'lng': 100.3158359201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Shahabee food corner,{'open_now': False},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110273972618470055940"">A Google User</a>'], 'photo_reference': 'AW30NDx3hwL-7RD41IF58Nv4uolXcw2ewfFkESyfnutYiwtbOIdftzAO_4qh2F7Q0QMWjVGDC0JpKNs0CirAaBqDwYdpRHroPoTSJGASpSJv5_WfdBBoDYpY-0xUkyOVQDa3hkXmbJv8x-3ZD9F149LBUjV4Gf-bK1_CCRqlv4UnXpZQC_vQ', 'width': 4608}]",ChIJjTaHxsfDSjARvDPCOZNquws,"{'compound_code': 'C858+FV George Town, Penang', 'global_code': '6PQ2C858+FV'}",4.4,ChIJjTaHxsfDSjARvDPCOZNquws,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",214,"195, Jalan Sungai Pinang, Taman Cemerlang, George Town",
OPERATIONAL,"{'location': {'lat': 5.3983549, 'lng': 100.3300561}, 'viewport': {'northeast': {'lat': 5.399637379892721, 'lng': 100.3314703298927}, 'southwest': {'lat': 5.396937720107277, 'lng': 100.3287706701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,James Foo Western Food @ Karpal Singh Drive,{'open_now': False},"[{'height': 1921, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116638079550339881413"">A Google User</a>'], 'photo_reference': 'AW30NDxKraP5SZ11BNMjRZ5DTCdb-wKF7_dLSCwMNArBsobR1lmqUoNA1JpBbXwSCnwC6XAbNs2OLe75OGVw9HjwokRpHStd5GWKvm6ujk7lO1u5qnwjUn_PisA0sIVNunk2GGp3msAUYoiZExLCFRWNO-ACuvaanibeSu1cQH9ATJxuie8l', 'width': 2887}]",ChIJgYA9d7rDSjARWOkVxqgIo1I,"{'compound_code': '98XJ+82 Jelutong, Penang', 'global_code': '6PQ298XJ+82'}",4.3,ChIJgYA9d7rDSjARWOkVxqgIo1I,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",24,"29C-01-13, Maritime Piazza, Persiaran Karpal Singh 2, Jelutong",
OPERATIONAL,"{'location': {'lat': 5.42971, 'lng': 100.3149166}, 'viewport': {'northeast': {'lat': 5.431106879892722, 'lng': 100.3162007798927}, 'southwest': {'lat': 5.428407220107278, 'lng': 100.3135011201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Iysan Kalasin Thai Food,,,ChIJx_Q7LpzDSjARVYhup8aTJ1M,"{'compound_code': 'C8H7+VX George Town, Penang', 'global_code': '6PQ2C8H7+VX'}",0.0,ChIJx_Q7LpzDSjARVYhup8aTJ1M,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"22, Jalan Jones, George Town",
